Resistance Fitness Multiplier,Introduction Frequency,Generations to 99% drive-carrying individuals
0.04,0.77,78.25
0.04,0.78,80.5
0.04,0.79,80.0
0.04,0.8,93.0
0.04,0.81,75.25
0.04,0.82,68.0
0.04,0.83,98.0
0.04,0.84,72.25
0.04,0.85,91.0
0.04,0.86,80.5
0.04,0.87,74.5
0.04,0.88,85.0
0.04,0.89,80.5
0.04,0.9,77.0
0.04,0.91,80.0
0.04,0.92,91.0
0.04,0.93,93.0
0.04,0.94,77.75
0.04,0.95,500
0.04,0.96,80.0
0.04,0.97,85.5
0.04,0.98,63.667
0.04,0.99,67.5
0.04,1.0,77.0
0.05,0.5,1000
0.05,0.51,500
0.05,0.52,500
0.05,0.53,500
0.05,0.54,500
0.05,0.55,500
0.05,0.56,500
0.05,0.57,500
0.05,0.58,500
0.05,0.59,500
0.05,0.6,500
0.05,0.61,500
0.05,0.62,500
0.05,0.63,500
0.05,0.64,500
0.05,0.65,500
0.05,0.66,500
0.05,0.67,500
0.05,0.68,500
0.05,0.69,500
0.05,0.7,500
0.05,0.71,500
0.05,0.72,500
0.05,0.73,500
0.05,0.74,500
0.05,0.75,500
0.05,0.76,500
0.05,0.77,500
0.05,0.78,500
0.05,0.79,500
0.05,0.8,500
0.05,0.81,500
0.05,0.82,500
0.05,0.83,500
0.05,0.84,500
0.05,0.85,500
0.05,0.86,500
0.05,0.87,500
0.05,0.88,500
0.05,0.89,500
0.05,0.9,500
0.05,0.91,500
0.05,0.92,500
0.05,0.93,500
0.05,0.94,500
0.05,0.95,500
0.05,0.96,500
0.05,0.97,500
0.05,0.98,500
0.05,0.99,500
0.05,1.0,500
0.06,0.5,1000
0.06,0.51,500
0.06,0.52,500
0.06,0.53,500
0.06,0.54,500
0.06,0.55,500
0.06,0.56,500
0.06,0.57,500
0.06,0.58,500
0.06,0.59,500
0.06,0.6,500
0.06,0.61,500
0.06,0.62,500
0.06,0.63,500
0.06,0.64,500
0.06,0.65,500
0.06,0.66,500
0.06,0.67,500
0.06,0.68,500
0.06,0.69,500
0.06,0.7,500
0.06,0.71,500
0.06,0.72,500
0.06,0.73,500
0.06,0.74,500
0.06,0.75,500
0.06,0.76,500
0.06,0.77,500
0.06,0.78,500
0.06,0.79,500
0.06,0.8,500
0.06,0.81,500
0.06,0.82,500
0.06,0.83,500
0.06,0.84,500
0.06,0.85,500
0.06,0.86,500
0.06,0.87,500
0.06,0.88,500
0.06,0.89,500
0.06,0.9,500
0.06,0.91,500
0.06,0.92,500
0.06,0.93,500
0.06,0.94,500
0.06,0.95,500
0.06,0.96,500
0.06,0.97,500
0.06,0.98,500
0.06,0.99,500
0.06,1.0,500
0.07,0.5,500
0.07,0.51,500
0.07,0.52,500
0.07,0.53,500
0.07,0.54,500
0.07,0.55,500
0.07,0.56,500
0.07,0.57,500
0.07,0.58,500
0.07,0.59,500
0.07,0.6,500
0.07,0.61,500
0.07,0.62,500
0.07,0.63,500
0.07,0.64,500
0.07,0.65,500
0.07,0.66,500
0.07,0.67,500
0.07,0.68,500
0.07,0.69,500
0.07,0.7,500
0.07,0.71,500
0.07,0.72,500
0.07,0.73,500
0.07,0.74,500
0.07,0.75,500
0.07,0.76,500
0.07,0.77,500
0.07,0.78,500
0.07,0.79,500
0.07,0.8,500
0.07,0.81,500
0.07,0.82,500
0.07,0.83,500
0.07,0.84,500
0.07,0.85,500
0.07,0.86,500
0.07,0.87,500
0.07,0.88,500
0.07,0.89,500
0.07,0.9,500
0.07,0.91,500
0.07,0.92,500
0.07,0.93,500
0.07,0.94,500
0.07,0.95,500
0.07,0.96,500
0.07,0.97,500
0.07,0.98,500
0.07,0.99,500
0.07,1.0,500
0.08,0.5,500
0.08,0.51,500
0.08,0.52,500
0.08,0.53,500
0.08,0.54,500
0.08,0.55,500
0.08,0.56,500
0.08,0.57,500
0.08,0.58,500
0.08,0.59,500
0.08,0.6,500
0.08,0.61,500
0.08,0.62,500
0.08,0.63,500
0.08,0.64,500
0.08,0.65,500
0.08,0.66,500
0.08,0.67,500
0.08,0.68,500
0.08,0.69,500
0.08,0.7,500
0.08,0.71,500
0.08,0.72,500
0.08,0.73,500
0.08,0.74,500
0.08,0.75,500
0.08,0.76,500
0.08,0.77,500
0.08,0.78,500
0.08,0.79,500
0.08,0.8,500
0.08,0.81,500
0.08,0.82,500
0.08,0.83,500
0.08,0.84,500
0.08,0.85,500
0.08,0.86,500
0.08,0.87,500
0.08,0.88,500
0.08,0.89,500
0.08,0.9,500
0.08,0.91,500
0.08,0.92,500
0.08,0.93,500
0.08,0.94,500
0.08,0.95,500
0.08,0.96,500
0.08,0.97,500
0.08,0.98,500
0.08,0.99,500
0.08,1.0,500
0.09,0.5,500
0.09,0.51,500
0.09,0.52,500
0.09,0.53,500
0.09,0.54,500
0.09,0.55,500
0.09,0.56,500
0.09,0.57,500
0.09,0.58,500
0.09,0.59,500
0.09,0.6,500
0.09,0.61,500
0.09,0.62,500
0.09,0.63,500
0.09,0.64,500
0.09,0.65,500
0.09,0.66,500
0.09,0.67,500
0.09,0.68,500
0.09,0.69,500
0.09,0.7,500
0.09,0.71,500
0.09,0.72,500
0.09,0.73,500
0.09,0.74,500
0.09,0.75,500
0.09,0.76,500
0.09,0.77,500
0.09,0.78,500
0.09,0.79,500
0.09,0.8,500
0.09,0.81,500
0.09,0.82,500
0.09,0.83,500
0.09,0.84,500
0.09,0.85,500
0.09,0.86,500
0.09,0.87,500
0.09,0.88,500
0.09,0.89,500
0.09,0.9,500
0.09,0.91,500
0.09,0.92,500
