Drive Homozygote Fitness,Introduction Frequency,Generations to 99% drive-carrying individuals
0.55,0.93,2.0
0.55,0.94,2.0
0.55,0.95,1.0
0.55,0.96,1.0
0.55,0.97,1.0
0.55,0.98,1.0
0.55,0.99,1.0
0.55,1.0,1.0
0.56,0.6,1000
0.56,0.61,1000
0.56,0.62,1000
0.56,0.63,1000
0.56,0.64,1000
0.56,0.65,1000
0.56,0.66,1000
0.56,0.67,1000
0.56,0.68,1000
0.56,0.69,1000
0.56,0.7,1000
0.56,0.71,1000
0.56,0.72,1000
0.56,0.73,1000
0.56,0.74,1000
0.56,0.75,1000
0.56,0.76,14.333
0.56,0.77,9.7
0.56,0.78,7.9
0.56,0.79,7.2
0.56,0.8,6.5
0.56,0.81,5.9
0.56,0.82,5.2
0.56,0.83,5.0
0.56,0.84,4.7
0.56,0.85,4.1
0.56,0.86,4.0
0.56,0.87,4.0
0.56,0.88,3.2
0.56,0.89,3.0
0.56,0.9,3.0
0.56,0.91,2.9
0.56,0.92,2.2
0.56,0.93,2.0
0.56,0.94,2.0
0.56,0.95,1.4
0.56,0.96,1.0
0.56,0.97,1.0
0.56,0.98,1.0
0.56,0.99,1.0
0.56,1.0,1.0
0.57,0.6,1000
0.57,0.61,1000
0.57,0.62,1000
0.57,0.63,1000
0.57,0.64,1000
0.57,0.65,1000
0.57,0.66,1000
0.57,0.67,1000
0.57,0.68,1000
0.57,0.69,1000
0.57,0.7,1000
0.57,0.71,1000
0.57,0.72,1000
0.57,0.73,1000
0.57,0.74,1000
0.57,0.75,1000
0.57,0.76,13.667
0.57,0.77,9.0
0.57,0.78,7.8
0.57,0.79,6.9
0.57,0.8,6.0
0.57,0.81,5.7
0.57,0.82,5.0
0.57,0.83,5.0
0.57,0.84,4.5
0.57,0.85,4.0
0.57,0.86,4.0
0.57,0.87,4.0
0.57,0.88,3.2
0.57,0.89,3.0
0.57,0.9,3.0
0.57,0.91,3.0
0.57,0.92,2.0
0.57,0.93,2.0
0.57,0.94,2.0
0.57,0.95,1.1
0.57,0.96,1.0
0.57,0.97,1.0
0.57,0.98,1.0
0.57,0.99,1.0
0.57,1.0,1.0
0.58,0.6,1000
0.58,0.61,1000
0.58,0.62,1000
0.58,0.63,1000
0.58,0.64,1000
0.58,0.65,1000
0.58,0.66,1000
0.58,0.67,1000
0.58,0.68,1000
0.58,0.69,1000
0.58,0.7,1000
0.58,0.71,1000
0.58,0.72,1000
0.58,0.73,1000
0.58,0.74,1000
0.58,0.75,13.667
