Haploinsufficiency,Embryo Cut Rate,Generations to 99% drive-carrying individuals
0.9,0.12,9.6
0.9,0.14,10
0.9,0.16,10
0.9,0.18,10
0.9,0.2,10.4
0.9,0.22,10.9
0.9,0.24,11
0.9,0.26,11.3
0.9,0.28,11.9
0.9,0.3,12.2
0.9,0.32,12.5
0.9,0.34,13.1
0.9,0.36,13.7
0.9,0.38,15
0.9,0.4,15.5
0.9,0.42,17.1
0.9,0.44,19.4
0.9,0.46,23
0.9,0.48,25
0.9,0.5,1000
0.9,0.52,1000
0.9,0.54,1000
0.9,0.56,1000
0.9,0.58,1000
0.9,0.6,1000
0.9,0.62,1000
0.9,0.64,1000
0.9,0.66,1000
0.9,0.68,1000
0.9,0.7,1000
0.9,0.72,1000
0.9,0.74,1000
0.9,0.76,1000
0.9,0.78,1000
0.9,0.8,1000
0.9,0.82,1000
0.9,0.84,1000
0.9,0.86,1000
0.9,0.88,1000
0.9,0.9,1000
0.9,0.92,1000
0.9,0.94,1000
0.9,0.96,1000
0.9,0.98,1000
0.9,1,1000
0.88,0,9
0.88,0.02,9
0.88,0.04,9
0.88,0.06,9
0.88,0.08,9
0.88,0.1,9.5
0.88,0.12,9.9
0.88,0.14,10
0.88,0.16,10
0.88,0.18,10.1
0.88,0.2,10.2
0.88,0.22,11
0.88,0.24,11
0.88,0.26,11.1
0.88,0.28,11.8
0.88,0.3,12
0.88,0.32,12.2
0.88,0.34,13
0.88,0.36,13.3
0.88,0.38,14.1
0.88,0.4,15.1
0.88,0.42,16.6
0.88,0.44,18
0.88,0.46,21.889
0.88,0.48,27.429
0.88,0.5,1000
0.88,0.52,1000
0.88,0.54,1000
0.88,0.56,1000
0.88,0.58,1000
0.88,0.6,1000
0.88,0.62,1000
0.88,0.64,1000
0.88,0.66,1000
0.88,0.68,1000
0.88,0.7,1000
0.88,0.72,1000
0.88,0.74,1000
0.88,0.76,1000
0.88,0.78,1000
0.88,0.8,1000
0.88,0.82,1000
0.88,0.84,1000
0.88,0.86,1000
0.88,0.88,1000
0.88,0.9,1000
0.88,0.92,1000
0.88,0.94,1000
0.88,0.96,1000
0.88,0.98,1000
0.88,1,1000
0.86,0,9
0.86,0.02,9
0.86,0.04,9
0.86,0.06,9
0.86,0.08,9.1
0.86,0.1,9.5
0.86,0.12,9.9
0.86,0.14,10
0.86,0.16,10
0.86,0.18,10.1
0.86,0.2,10.5
0.86,0.22,11
0.86,0.24,11
0.86,0.26,11
0.86,0.28,11.7
0.86,0.3,12
0.86,0.32,12.3
0.86,0.34,12.7
0.86,0.36,13.1
0.86,0.38,13.7
0.86,0.4,14.8
0.86,0.42,15.9
0.86,0.44,16.9
0.86,0.46,18.9
0.86,0.48,22.5
0.86,0.5,33.333
0.86,0.52,1000
0.86,0.54,1000
0.86,0.56,1000
0.86,0.58,1000
0.86,0.6,1000
0.86,0.62,1000
0.86,0.64,1000
0.86,0.66,1000
0.86,0.68,1000
0.86,0.7,1000
0.86,0.72,1000
0.86,0.74,1000
0.86,0.76,1000
0.86,0.78,1000
0.86,0.8,1000
0.86,0.82,1000
0.86,0.84,1000
0.86,0.86,1000
0.86,0.88,1000
0.86,0.9,1000
0.86,0.92,1000
0.86,0.94,1000
0.86,0.96,1000
0.86,0.98,1000
0.86,1,1000
0.84,0,9
0.84,0.02,9
0.84,0.04,9
0.84,0.06,9.1
0.84,0.08,9
0.84,0.1,9.8
0.84,0.12,10
0.84,0.14,10
0.84,0.16,10
0.84,0.18,10
0.84,0.2,10.4
0.84,0.22,10.8
0.84,0.24,11
0.84,0.26,11
0.84,0.28,11.3
0.84,0.3,11.9
0.84,0.32,12.1
0.84,0.34,12.4
0.84,0.36,12.9
0.84,0.38,13.9
0.84,0.4,14.1
0.84,0.42,15.2
0.84,0.44,15.9
0.84,0.46,17.1
0.84,0.48,19.3
0.84,0.5,25.333
0.84,0.52,27
0.84,0.54,1000
0.84,0.56,1000
0.84,0.58,1000
0.84,0.6,1000
0.84,0.62,1000
0.84,0.64,1000
0.84,0.66,1000
0.84,0.68,1000
0.84,0.7,1000
0.84,0.72,1000
0.84,0.74,1000
0.84,0.76,1000
0.84,0.78,1000
0.84,0.8,1000
0.84,0.82,1000
0.84,0.84,1000
0.84,0.86,1000
0.84,0.88,1000
0.84,0.9,1000
0.84,0.92,1000
0.84,0.94,1000
0.84,0.96,1000
0.84,0.98,1000
0.84,1,1000
0.82,0,9
